SL,Category,Job Title,Skills,Experience,Salary,Job Link
473,Full Stack Developer,Lead Full Stack Developer,"Node.js, React, Kubernetes",Fresh / 0-1 year,"BDT 30,000/month",https://www.linkedin.com/jobs/view/4318542882
474,DevOps Engineer,DevOps Engineer - Mobile,"Bash, Docker, Power BI, Azure, Selenium",3 year(s),"BDT 20,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000154
475,Security Engineer,AI Security Engineer,"SQL, Ansible, .NET",3 year(s),"Tk. 90,000 - 120,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000155
476,Full Stack Developer,Backend Full Stack Developer,"GCP, TensorFlow, Swift, NLP",3 year(s),"Tk. 50,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000156
477,Database Administrator,Database Administrator - Android Developer,"CI/CD, AWS, .NET",2 year(s),"Tk. 90,000 - 110,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000157
478,Software Developer,Lead Software Developer,"AWS, PostgreSQL, C++",3 year(s),"BDT 90,000/month",https://www.linkedin.com/jobs/view/4318542882
479,Mobile Developer,Mobile Developer (Remote),"CI/CD, GCP, pandas, Computer Vision",Fresh / 0-1 year,"$53,531-$80,561 USD (Annual)",https://www.linkedin.com/jobs/view/5000000159
480,Machine Learning Engineer,Machine Learning Engineer - Data,"Python, Java, PyTorch, React",4 year(s),"৳90,000 - ৳120,000 per month",https://www.linkedin.com/jobs/view/5000000160
481,Full Stack Developer,Full Stack Developer - Flutter Developer,"GCP, PHP, C#, GraphQL",6 year(s),"৳20,000 - ৳20,000 per month",https://www.linkedin.com/jobs/view/4337410751
482,Backend Developer,Lead Backend Developer,"GCP, NLP, Git, Node.js, Kubernetes, React",5 year(s),"BDT 20,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000162
483,Software Engineer,Frontend Software Engineer,"Ansible, .NET, Azure, Flask, Python, Laravel",1 year(s),"৳90,000 - ৳120,000 per month",https://www.linkedin.com/jobs/view/5000000163
484,Computer Vision Engineer,Computer Vision Engineer - Security,"Spring, Security, Django, REST API",2 year(s),"Tk. 40,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000164
485,Data Scientist,Lead Data Scientist,"Swift, CI/CD, C++",1 year(s),"$74,267-$97,740 per year",https://www.linkedin.com/jobs/view/5000000165
486,BI Developer,Lead BI Developer,"Kubernetes, PHP, .NET, Vue.js",Fresh / 0-1 year,"BDT 10,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000166
487,Research Assistant,Research Assistant - Python Developer,"Bash, SQL, Git",4 year(s),"$65,890-$131,973 USD (Annual)",https://www.linkedin.com/jobs/view/5000000167
488,QA Engineer,QA Engineer - Python Developer,"Python, AWS, C++, Scikit-learn, Golang",Fresh / 0-1 year,"$82,594-$140,956 USD (Annual)",https://www.linkedin.com/jobs/view/5000000168
489,Full Stack Developer,Full Stack Developer - Security,"REST API, SQL, HTML",4 year(s),"Tk. 50,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/4318542882
490,Systems Administrator,Lead Systems Administrator,"GraphQL, NLP, Node.js",3 year(s),"Tk. 30,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000170
491,Full Stack Developer,Lead Full Stack Developer,"PHP, iOS, REST API",9 year(s),"$61,541-$89,139 per year",https://www.linkedin.com/jobs/view/5000000171
492,Cloud Engineer,Lead Cloud Engineer,"Redis, PHP, C++, CI/CD, JavaScript",11 year(s),"$85,046 per year",https://www.linkedin.com/jobs/view/4337410751
493,Machine Learning Engineer,Machine Learning Engineer - Chittagong Based,".NET, JavaScript, HTML",7 year(s),"BDT 20,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000173
494,NLP Engineer,Lead NLP Engineer,"TensorFlow, C#, REST API, PHP",3 year(s),"৳30,000 - ৳50,000 per month",https://www.linkedin.com/jobs/view/5000000174
495,Systems Administrator,Systems Administrator - iOS Developer,"NLP, Java, Bash, Power BI, pandas, Django",6 year(s),"$89,732 per year",https://www.linkedin.com/jobs/view/5000000175
496,Backend Developer,Backend Developer - USA Based,"AWS, Git, REST API, pandas, React",3 year(s),"Tk. 20,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4318542882
497,Security Engineer,Cloud Security Engineer,"NumPy, MongoDB, CSS, Selenium, React, GCP",6 year(s),"৳20,000 - ৳30,000 per month",https://www.linkedin.com/jobs/view/4315216564
498,Cloud Engineer,Cloud Engineer - Flutter Developer,"Computer Vision, PHP, Ansible, pandas, Flask, Kubernetes",3 year(s),"৳20,000 - ৳40,000 per month",https://www.linkedin.com/jobs/view/5000000178
499,BI Developer,BI Developer (Remote),"Azure, Android, Selenium, Vue.js, Hadoop, .NET",7 year(s),"$56,572 per year",https://www.linkedin.com/jobs/view/5000000179
500,Database Administrator,Database Administrator (Remote),"Bash, Java, MySQL, Computer Vision, C++",4 year(s),"৳100,000 - ৳200,000 per month",https://www.linkedin.com/jobs/view/5000000180
